"authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","videoId","textDisplay","textOriginal","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"Chere **","https://yt3.ggpht.com/-LA1LF5YnAQ0/AAAAAAAAAAI/AAAAAAAAAAA/yFfrsLmqGMs/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCGosFifkQkbmwO-UQZgNEwQ","UCGosFifkQkbmwO-UQZgNEwQ","jf0ZtZ8CVkk","Why does the manager at <a href=\"https://www.youtube.com/watch?v=jf0ZtZ8CVkk&amp;t=1m54s\">1:54</a> reminds me of Hugh Dancy?","Why does the manager at 1:54 reminds me of Hugh Dancy?","TRUE","none","0","2019-03-08T18:52:51.000Z","2019-03-08T18:52:51.000Z","UgxR36hhFwTaJXTyTiN4AaABAg",NA,NA
"Munirah Zakri","https://yt3.ggpht.com/-PpUthfftSCE/AAAAAAAAAAI/AAAAAAAAAAA/giOtI1JJyQM/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCrNDWBl3bZq6LZVQeWXgfnw","UCrNDWBl3bZq6LZVQeWXgfnw","jf0ZtZ8CVkk","i can smell the coffee from here <U+2615><U+FE0F>","i can smell the coffee from here <U+2615><U+FE0F>","TRUE","none","2","2019-03-08T18:43:29.000Z","2019-03-08T18:43:29.000Z","UgwyUekC23HKzjAgCmN4AaABAg",NA,NA
"Sarah Townsend","https://yt3.ggpht.com/-KliIFsxStaE/AAAAAAAAAAI/AAAAAAAAAAA/ghWC41q3KyM/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCn7d8vpVNTuwupaT3yJR9Lw","UCn7d8vpVNTuwupaT3yJR9Lw","jf0ZtZ8CVkk","So I can’t find a frappe in France? ((Maybe in a McDonald’s))","So I can’t find a frappe in France? ((Maybe in a McDonald’s))","TRUE","none","0","2019-03-08T18:42:18.000Z","2019-03-08T18:42:18.000Z","UgyjWyM5PhuGfsktDSJ4AaABAg",NA,NA
"LOVER LINK","https://yt3.ggpht.com/-fu-9FIQU_zE/AAAAAAAAAAI/AAAAAAAAAAA/On-MKeDnEKY/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCPi8IoE6hgNHhgKVQ-mQNCQ","UCPi8IoE6hgNHhgKVQ-mQNCQ","jf0ZtZ8CVkk","wtf i was in milan a few months ago literally at that area and never seen it?!?!?!?!","wtf i was in milan a few months ago literally at that area and never seen it?!?!?!?!","TRUE","none","0","2019-03-08T18:39:04.000Z","2019-03-08T18:39:04.000Z","UgwcvSZjSag97KWauex4AaABAg",NA,NA
"Gen Wolf","https://yt3.ggpht.com/-OaA50e7Cb8I/AAAAAAAAAAI/AAAAAAAAAAA/Kf-xTAlgXaw/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCk2kK75ofsztYzXrnwIDwYA","UCk2kK75ofsztYzXrnwIDwYA","jf0ZtZ8CVkk","Does it have a drive thru tho?","Does it have a drive thru tho?","TRUE","none","13","2019-03-08T18:36:07.000Z","2019-03-08T18:36:07.000Z","UgyTvxkNQjm04SH_B1h4AaABAg",NA,NA
"Artistic Slimes","https://yt3.ggpht.com/-z6di9ryr1Hk/AAAAAAAAAAI/AAAAAAAAAAA/4su-TVQi0bw/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCTRNPcT3E6w7rtgdrnCCJVg","UCTRNPcT3E6w7rtgdrnCCJVg","jf0ZtZ8CVkk","Well there is <b>NO</b> <b>STARBUCKS</b> in South Africa","Well there is *NO* *STARBUCKS* in South Africa","TRUE","none","1","2019-03-08T18:34:36.000Z","2019-03-08T18:34:36.000Z","UgwcyrSdJYOL89RKOj94AaABAg",NA,NA
"Mellivora Capensis","https://yt3.ggpht.com/-n2ft1gnTJmM/AAAAAAAAAAI/AAAAAAAAAAA/4EVyz6nOljs/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCO3vyl4fnZrPu3HIT17fQIA","UCO3vyl4fnZrPu3HIT17fQIA","jf0ZtZ8CVkk","Now why would anyone want to drink crappy Starfucks coffee when one can have excellent coffee everywhere else in Italy? Even in the smallest village or shadiest establishment the coffee is fantastic. One Starfucks in Italy is one too many and elsewhere too for that matter.","Now why would anyone want to drink crappy Starfucks coffee when one can have excellent coffee everywhere else in Italy? Even in the smallest village or shadiest establishment the coffee is fantastic. One Starfucks in Italy is one too many and elsewhere too for that matter.","TRUE","none","31","2019-03-08T18:30:04.000Z","2019-03-08T18:30:04.000Z","UgxjR1EKEtpMf2AqhRV4AaABAg",NA,NA
"prest224","https://yt3.ggpht.com/-TA6Qn5N7fRg/AAAAAAAAAAI/AAAAAAAAAAA/SHDL2A3E_mU/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCZaBrv56Lsf-5nfZomH2o8A","UCZaBrv56Lsf-5nfZomH2o8A","jf0ZtZ8CVkk","This is a museum","This is a museum","TRUE","none","9","2019-03-08T18:20:39.000Z","2019-03-08T18:20:39.000Z","Ugyuv8xnhsxuu10zicJ4AaABAg",NA,NA
"Aakash Shrivastav","https://yt3.ggpht.com/-shZXvm7_8lo/AAAAAAAAAAI/AAAAAAAAAAA/5vIUdswvN5g/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCUgpbz94IHQVeaNKQ_8_eTA","UCUgpbz94IHQVeaNKQ_8_eTA","jf0ZtZ8CVkk","Who is she?","Who is she?","TRUE","none","0","2019-03-08T18:19:43.000Z","2019-03-08T18:19:43.000Z","UgyRW4KDsVEDNwcflY94AaABAg",NA,NA
"q1chy","https://yt3.ggpht.com/-xBwj6sOjMVc/AAAAAAAAAAI/AAAAAAAAAAA/BRyM1oA1vzk/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UC5DQSPjnyu1Bgaw5EawCvNw","UC5DQSPjnyu1Bgaw5EawCvNw","jf0ZtZ8CVkk","We don&#39;t even have <i>one</i> Starbucks.","We don't even have _one_ Starbucks.","TRUE","none","0","2019-03-08T18:19:33.000Z","2019-03-08T18:19:33.000Z","UgxnkMm2pP7yokOEbnZ4AaABAg",NA,NA
